datetime,open,high,low,close,% change
2025-03-07,339.35,344.94,317.63,330.51,-2.6049801090319824
2025-03-06,362.89,371.58,345.76,347.49,-4.243710215216726
2025-03-05,358.13,367.06,343.03,365.0,1.9182978248122202
2025-03-04,377.86,396.52,370.69,390.31,3.294871116286452
2025-03-03,403.82,405.09,378.3,381.61,-5.499975236491501
2025-02-28,378.48,389.19,378.07,388.5,2.647431832593527
2025-02-27,403.01,403.8,381.11,381.7,-5.287709982382572
2025-02-26,385.71,401.51,384.48,395.33,2.4941017863161457
2025-02-25,387.62,388.4,369.31,378.57,-2.3347608482534468
2025-02-24,401.68,403.16,382.12,391.6,-2.5094602668791035
2025-02-21,430.32,431.18,404.48,406.35,-5.570273284997205
2025-02-20,437.98,438.19,418.29,435.08,-0.6621306908991356
2025-02-19,452.24,454.66,444.66,450.02,-0.49088979303025543
2025-02-18,449.39,453.59,445.09,453.59,0.9346002358752952
2025-02-14,445.01,453.27,442.52,451.56,1.4718770364710931
2025-02-13,435.39,453.8,432.04,453.62,4.187050690185814
2025-02-12,427.93,437.38,425.22,435.33,1.7292547846610373
2025-02-11,429.7,434.6,423.71,430.43,0.16988596695369285
2025-02-10,427.13,431.66,425.04,429.02,0.4424882354318325
2025-02-07,427.83,431.23,419.46,421.42,-1.4982586541383185
2025-02-06,415.76,421.51,414.29,419.69,0.9452568789686373
2025-02-05,410.74,419.24,405.09,416.38,1.3731314213370955
2025-02-04,402.21,408.33,398.18,408.09,1.461922876109494
2025-02-03,386.73,399.85,385.94,398.53,3.0512243684224014
2025-01-31,404.39,407.89,397.39,399.46,-1.2191201562847764
2025-01-30,395.28,403.1,390.92,395.96,0.17202995345072022
2025-01-29,400.65,401.22,390.32,397.67,-0.7437913390739952
2025-01-28,379.31,411.13,374.41,409.93,8.072552793229812
2025-01-27,361.71,382.09,360.96,370.66,2.4743579110337137
2025-01-24,381.0,384.39,373.64,373.84,-1.8792650918635234
2025-01-23,374.97,377.59,371.63,376.77,0.48003840307223367
2025-01-22,367.58,381.24,362.62,377.79,2.777626639098982
2025-01-21,361.72,369.92,358.05,366.69,1.373990932212753
2025-01-17,363.55,364.93,349.41,358.83,-1.2983083482327127
2025-01-16,366.12,368.79,360.41,363.01,-0.8494482683273281
2025-01-15,355.77,365.17,352.76,363.81,2.2598870056497233
2025-01-14,346.37,351.75,344.16,347.71,0.386869532580759
2025-01-13,341.81,345.15,335.27,340.22,-0.46517070887334333
2025-01-10,350.21,352.53,344.05,348.61,-0.45686873590130667
2025-01-08,363.38,364.86,350.82,358.58,-1.320931256535861
2025-01-07,366.63,370.24,353.99,360.39,-1.7019883806562501
2025-01-06,361.41,368.4,356.06,366.32,1.3585678315486478
2025-01-03,352.6,359.46,350.29,358.69,1.7271695972773609
2025-01-02,343.79,350.53,340.89,346.98,0.927892027109572
2024-12-31,350.07,350.07,339.55,342.0,-2.3052532350672705
2024-12-30,349.44,352.75,344.56,349.58,0.04006410256409866
2024-12-27,360.07,360.73,350.04,355.96,-1.1414447190824046
2024-12-26,365.32,366.46,361.59,366.1,0.21351144202343958
2024-12-24,360.3,365.79,359.46,365.13,1.3405495420482887
2024-12-23,355.68,365.63,354.12,362.33,1.8696581196581135
2024-12-20,349.36,365.23,347.99,361.31,3.420540416762076
2024-12-19,357.86,360.09,349.56,352.79,-1.4167551556474578
2024-12-18,376.74,377.42,345.38,350.31,-7.015448319796147
2024-12-17,383.28,385.14,373.18,376.78,-1.6958881235650178
2024-12-16,366.63,388.93,366.0,388.24,5.894225786214989
2024-12-13,368.55,370.08,361.53,368.16,-0.10582010582010212
2024-12-12,361.31,365.56,359.73,365.21,1.0794054966649074
2024-12-11,351.01,364.86,349.45,363.47,3.5497564171961016
2024-12-10,356.34,357.03,344.76,346.19,-2.848403210417011
2024-12-09,365.54,366.22,351.71,353.32,-3.3429993981506887
2024-12-06,362.59,371.14,360.78,367.08,1.238313246366422
2024-12-05,359.74,366.38,358.53,365.77,1.6762105965419394
2024-12-04,351.037,366.309,347.335,364.229,3.75800841506736
2024-12-03,344.851,351.778,344.095,350.062,1.5110873971657361
2024-12-02,337.969,354.218,335.695,346.769,2.6037891049179103
2024-11-29,347.266,350.039,343.673,345.649,-0.4656372924501732
2024-11-27,349.633,350.417,340.39,345.341,-1.2275729121678942
2024-11-26,363.617,367.064,360.723,364.26,0.1768344164326674
2024-11-25,375.532,376.826,360.825,364.234,-3.0085318960834235
2024-11-22,362.471,371.777,360.238,371.725,2.553031828753202
2024-11-21,353.27,362.226,350.746,358.545,1.4931921759560773
2024-11-20,351.341,352.383,344.079,349.056,-0.6503653146088914
2024-11-19,338.6,354.23,338.0,352.78,4.187832250442986
2024-11-18,338.91,347.23,336.33,343.14,1.2481189696379453
2024-11-15,340.32,341.33,332.51,335.1,-1.5338504936530237
2024-11-14,349.99,350.31,343.35,345.36,-1.322894939855423
2024-11-13,347.52,359.27,345.63,348.82,0.37407918968692777
2024-11-12,339.81,343.81,336.27,343.11,0.9711309261057683
2024-11-11,335.32,342.26,332.03,342.17,2.042824764404158
2024-11-08,330.39,330.73,323.23,329.63,-0.23003117527769937
2024-11-07,320.41,333.11,320.25,331.41,3.4331013389095224
2024-11-06,321.09,323.58,316.91,319.53,-0.4858450901616376
2024-11-05,302.86,308.73,299.77,307.58,1.5584758634352407
2024-11-04,297.53,302.85,294.99,299.95,0.8133633583168138
2024-11-01,297.56,304.25,295.16,302.44,1.6400053770668086
2024-10-31,304.92,305.51,294.55,296.52,-2.7548209366391294
2024-10-30,310.31,315.16,307.34,307.99,-0.7476394573168745
2024-10-29,302.34,313.08,302.34,311.74,3.1090824899120313
2024-10-28,297.63,304.8,295.84,301.55,1.3170715317676365
2024-10-25,306.33,311.17,294.94,300.77,-1.8150360722097094
2024-10-24,303.7,305.79,301.74,305.02,0.43463944682252
2024-10-23,304.91,305.86,298.2,298.59,-2.0727427765570328
2024-10-22,305.86,311.16,305.51,308.45,0.8467926502321241
2024-10-21,313.36,316.62,308.06,309.54,-1.2190451876436026
2024-10-18,308.34,313.78,306.62,310.78,0.7913342414218064
2024-10-17,307.73,313.61,305.58,310.03,0.7474084424657831
2024-10-16,303.89,307.09,299.09,306.31,0.7963407812037302
2024-10-15,306.46,310.29,300.52,302.04,-1.4422763166481627
2024-10-14,322.71,323.63,309.41,310.72,-3.7154101205416485
2024-10-11,314.64,322.37,312.92,320.33,1.8084159674548683
2024-10-10,303.72,315.42,303.08,315.34,3.825892269195294
2024-10-09,293.44,298.57,292.38,298.45,1.7073336968375104
2024-10-08,286.89,295.07,286.89,293.87,2.4329882533375224
2024-10-07,291.48,292.7,285.66,287.0,-1.5369836695485173
2024-10-04,286.41,291.74,283.47,291.47,1.7666980901504843
2024-10-03,280.79,286.74,279.96,283.41,0.9330816624523681
2024-10-02,278.72,281.95,275.04,281.19,0.8861940298507356
2024-10-01,280.01,282.15,272.64,275.39,-1.64994107353309
2024-09-30,283.36,285.23,278.07,280.27,-1.0904856013551778
2024-09-27,282.14,286.38,280.98,285.84,1.311405685120858
2024-09-26,286.59,287.88,277.85,282.12,-1.5597194598555326
2024-09-25,288.34,291.56,285.41,286.69,-0.572241104251917
2024-09-24,291.44,292.21,285.03,288.29,-1.0808399670601074
2024-09-23,297.58,301.99,292.6,293.02,-1.5323610457692058
2024-09-20,288.75,299.79,286.8,299.49,3.7194805194805225
2024-09-19,274.69,283.91,273.66,277.48,1.0156904146492485
2024-09-18,268.61,271.74,263.4,267.38,-0.4579129593090422
2024-09-17,270.02,272.02,266.97,269.03,-0.36663950818458235
2024-09-16,261.29,269.86,260.96,268.07,2.594818018293839
2024-09-13,257.0,261.42,256.44,258.96,0.7626459143968792
2024-09-12,254.35,258.31,252.48,256.26,0.750933752702967
2024-09-11,244.85,254.49,241.96,253.37,3.4796814376148704
2024-09-10,249.1,250.24,243.45,247.71,-0.5580088317944546
2024-09-09,248.11,249.42,243.97,245.6,-1.0116480593285313
2024-09-06,255.29,256.72,244.43,246.48,-3.4509773199106903
2024-09-05,254.82,258.81,252.65,256.49,0.655364571069781
2024-09-04,262.51,267.07,258.29,259.51,-1.1428136071006818
2024-09-03,275.32,277.4,265.19,266.15,-3.3306697660903737
2024-08-30,282.61,283.47,273.32,277.17,-1.924914192703725
2024-08-29,279.02,285.61,269.98,269.98,-3.239911117482605
2024-08-28,266.74,267.23,261.33,264.47,-0.851015970608076
2024-08-27,264.63,270.13,262.21,269.44,1.8176321656652692
2024-08-26,270.75,271.32,265.47,266.34,-1.6288088642659373
2024-08-23,269.61,273.28,266.59,271.0,0.5155595118875361
2024-08-22,274.9,278.28,267.13,267.35,-2.7464532557293397
2024-08-21,266.15,274.3,265.76,273.12,2.6188239714446846
2024-08-20,268.75,269.65,264.13,266.48,-0.8446511627906909
2024-08-19,265.16,270.81,263.86,266.29,0.42615779152209815
2024-08-16,258.5,262.05,257.85,262.0,1.3539651837524178
2024-08-15,259.99,263.49,257.64,260.14,0.05769452671255711
2024-08-14,249.48,258.81,249.08,256.02,2.6214526214526184
2024-08-13,241.17,248.87,240.13,246.94,2.3925032135008544
2024-08-12,241.7,242.08,235.23,238.12,-1.4811750103433945
2024-08-09,241.23,245.88,238.69,240.55,-0.2818886539816683
2024-08-08,233.44,241.87,229.61,238.93,2.3517820424948632
2024-08-07,240.92,243.14,230.48,231.01,-4.113398638552216
2024-08-06,223.68,235.09,221.3,231.04,3.2904148783977045
2024-08-05,210.63,223.91,208.84,221.75,5.279399895551443
2024-08-02,216.22,219.55,211.06,217.77,0.7168624549070444
